Arx	O35085
Nat1	P50294
Nat2	P50295
Nat3	P50296
As3mt	Q91WU5
Asah1	Q9WV54
Asah2	Q9JHE3
Asap1	Q9QWY8
Asap2	Q7SIG6
Asap3	Q5U464
Asb10	Q91ZT7
Asb11	Q9CQ31
Asb12	Q9D738
Asb13	Q8VBX0
Asb14	Q8C6Y6
Asb15	Q8VHS6
Asb16	Q8VHS5
Asb17	Q8VHP9
Asb18	Q8VHA6
Asb1	Q9WV74
Asb2	Q8K0L0
Asb3	Q9WV72
Asb4	Q9WV71
Asb5	Q9D1A4
Asb6	Q91ZU1
Asb7	Q91ZU0
Asb8	Q91ZT9
Asb9	Q91ZT8
Ascc1	Q9D8Z1
Ascc2	Q91WR3
Ascc3	E9PZJ8
Ascl1	Q02067
Ascl2	O35885
Ascl3	Q9JJR7
Ascl5	M0QWB7
Pycard	Q9EPB4
Asf1a	Q9CQE6
Asf1b	Q9DAP7
Asrgl1	Q8C0M9
Asgr1	P34927
Asgr2	P24721
Ash1l	Q99MY8
Ash2l	Q91X20
Asic1	Q6NXK8
Asic2	Q925H0
Asic3	Q6X1Y6
Asic4	Q7TNS7
Asic5	Q9R0Y1
Asip	Q03288
Smpdl3a	P70158
Smpdl3b	P58242
Asmt	D3KU66
Smpd1	Q04519
Asnsd1	Q8BFS9
Asns	Q61024
Aspscr1	Q8VBT9
Aspdh	Q9DCQ2
Aga	Q64191
Asphd1	Q2TA57
Asphd2	Q80VP9
Asph	Q8BSY0
Aspm	Q8CJ27
Aspn	Q99MQ4
Ppp1r13b	Q62415
Tp53bp2	Q8CG79
Acrv1	P50289
Ass1	P16460
Aste1	Q8BIR2
Wdr83os	Q6ZWX0
Astl	Q6HA09
Astn1	Q61137
Astn2	Q80Z10
Gramd1a	Q8VEF1
Gramd1b	Q80TI0
Gramd1c	Q8CI52
Asxl1	P59598
Asxl2	Q8BZ32
Asxl3	Q8C4A5
Asz1	Q8VD46
Atp10a	O54827
Atp10b	B1AWN4
Atp10d	Q8K2X1
Atp11a	P98197
Atp11b	Q6DFW5
Atp11c	Q9QZW0
Atp12a	Q9Z1W8
Atp13a1	Q9EPE9
Atp13a2	Q9CTG6
