Accession,luminal protein estrus,luminal protein 0.5,luminal protein 1.5,luminal protein 2.5,luminal protein so estrus,luminal protein so 0.5,luminal protein so 1.5,luminal protein so 2.5
Q99PL5,17126501.32,5658626.766,16762278.36,58043368.52,12890314,20777835.88,35091705.31,48153453.55
Q8R1B4,22638494.25,8826489.508,17329128.57,17703858.63,13903840.73,11116427.54,18939872.33,12951498.31
Q9QYB1,113287882.7,52545618.15,147247767.6,260329543.9,142367509.9,123512996.3,253794016.5,184754682.6
A0A6I8MX27,71490048.05,31774971.78,95993572.58,171148279.2,98751765.38,69586912.36,151601991,186553101.7
Q8BU30,15796988.76,7089429.518,12162833.34,22702432.85,15785751.41,11481635.76,14394843.03,11118563.57
P97371,61016276.41,27247272.05,70156501.13,81989557.63,70060123.23,50550534.41,91975771.88,65819366.53
Q9CPV4,35380814.13,17150517.72,35735159.03,50340372.22,35826658.89,31408968.66,35914263.75,36776089.66
Q62010,43293678.63,10048873.56,116328797,45775957.92,48900375.45,39053737.39,118322076.6,78723195.63
A0A0A6YVP0,26491119.09,21600976.9,63049865.13,74881896.08,28627293.95,73292111.31,109095305.8,83839246.44
Q6A0A9,5856752.547,1981740.148,4822553.766,8689304.781,8039656.578,5813147.516,9584338.781,6960985.609
Q9R098,1792336.729,5041785.504,2604053.875,3580781,6252303.941,3932064.344,7128600.375,4916932.719
O08529,176617342.2,50079149.52,125171840.2,132190888.3,65861560.79,75972413.02,77685786.14,102350818.3
O70133,7373098.328,1969883.035,5911526.148,9059099.068,6108010.352,4468665.895,8925106.859,4439246.227
Q8CIN4,29474132.48,12858417.11,37404423.88,67230169.08,29516777.47,26478753.09,57411587.38,38591804.13
