,IU_1.5preg_n1,IU_1.5preg_n2,IU_1.5preg_n3,IA_1.5preg_n1,IA_1.5preg_n2,IA_1.5preg_n3
Il1r2,0.5664948000719834,0.09447642905751569,0.17211641422942156,0.3037470523753772,0.0,0.12019615699476192
Il1r1,4.13035512854024,4.0472853497617525,4.15706725313053,4.220816728099918,4.085108369508342,4.1476964950343405
Il1rl2,2.6834451291258286,2.4240255810237903,2.489969635999152,4.016397775766669,4.130204394773372,4.023365262257713
Il1rl1,1.7928583090601007,1.5886642802478277,1.7712252414497665,0.5044879442868377,0.7425850677614706,0.892307526223511
Il18r1,3.0794901551765457,2.984103700213741,3.1524520442700643,4.0542355435398525,4.019811295110215,4.094654186436608
Il18rap,0.24636855396205834,0.4225512490568122,0.0,0.18045396002287395,0.15180488899755137,0.1882214643912318
Slc9a4,0.0,0.0,0.0,0.0,0.050774384631327385,0.0
Slc9a2,1.511662527859306,1.495801521461049,1.6895189563657556,1.8164448373757276,1.1653931875954147,1.701785876258969
Mfsd9,3.218604631750961,3.322872453932457,3.3570433330246243,4.129964087095008,4.2609151337998625,4.192363440271368
Tmem182,0.21404775986748498,0.22517323555083002,0.021619249809095735,0.10864708251009561,0.050774384631327385,0.05161384368257488
Pou3f3,0.19780237485806118,0.22517323555083002,0.0,0.0,0.0,0.0
2900092D14Rik,0.03317637404353393,0.03783778584439465,0.0,0.0,0.0,0.0
Mrps9,3.7679915783127322,3.769483559115194,3.7743117780334776,3.9311695088047607,3.8481501883921605,4.04408471267321
Gpr45,0.08286129764253822,0.13207949711898243,0.0,0.01814249757293295,0.050774384631327385,0.0
Tgfbrap1,5.302930583683245,5.5496018280148265,5.1856020639841685,4.577754657767053,4.607476395791859,4.421440293862777
AI597479,4.314906565592548,4.276645725633937,4.264747149266333,4.116453483619021,4.162345404976822,4.118451928352047
Fhl2,3.6089152925882986,3.1951693775948833,3.250796751829371,3.592217741331412,3.840544288457124,3.7299649973988385
Gm8210,1.143927973528815,0.6986869886337643,1.4580177879093996,1.1041709832332431,1.5124945231575386,1.2764201361387726
Nck2,5.278354819299413,5.245409661635422,5.357290355368742,5.491043148979376,5.6360310319873665,5.650931841593849
Ecrg4,6.256195253456908,6.194260613148452,6.629126096678555,4.546698324314248,3.9836030370983777,4.2870664622247805
Uxs1,3.7809305035028524,3.825469009302437,3.838662506416695,3.5046241383086323,3.778683234634525,3.6536607554641245
Tpp2,4.93381888634478,4.808260429953823,4.8816803813270955,4.928090349151934,4.854123468723542,4.942953942839453
Mettl21c,0.0,0.0,0.0,0.05440363768600215,0.0,0.08595538842380422
Tex30,1.8655486233467051,1.9916165855973915,1.7994440098989104,1.8559336248283054,1.9171185795896477,1.8384252026987784
Poglut2,4.181809888883711,4.147816983849366,4.136556960027591,3.991247637293925,3.9341864253811996,3.8085243752177633
Bivm,3.9367786378251677,4.041983551877281,4.104980947359486,4.165500539409241,4.181921521734093,4.279944944275274
Ercc5,3.8396700900301757,3.829585426982999,3.7881043618155625,4.1621161683848715,4.161554336615647,4.07730244501501
Gulp1,4.200380879385114,4.066272252933334,4.144811600820235,4.0760236316211005,3.833978625832166,3.989549855650811
4930521E06Rik,0.01659046913343815,0.0,0.0,0.0725104143275882,0.10141845818399237,0.12019615699476192
Col3a1,8.061713068148867,7.908976212093504,8.07967339258165,6.627326940188007,5.732178706433547,6.352142529585429
Col5a2,5.708767204258832,5.46742530523796,5.5865220765084915,4.603523973480837,3.399607799466645,3.814611354962124
Wdr75,4.0744194007767645,3.8917017085990824,3.974988770174446,3.6551028590256363,3.759945311257221,3.575884488769031
Gm5526,3.006888867220485,2.64167650676474,2.4425894904635013,1.635098491184294,0.978908688404428,1.0516437214724617
Slc40a1,4.022325862133233,3.494057889731485,3.576431611684058,4.213329311418518,3.805018983457057,3.9485977587918413
Stk-ps2,0.0,0.0,0.0,0.0,0.0,0.06879474040735298
Dnah7b,4.006757506059552,3.93772831575049,3.9958754188675427,5.654910592999559,5.628026828556771,5.602602539616633
Dnah7c,3.7384499293448146,4.036653512562824,3.8423765531971896,6.201974131010714,6.322624423799866,6.247622401237651
Slc39a10,4.691167829420644,4.551547613945019,4.561267435288494,4.797498034521074,4.752948289944239,4.630451523226306
Tmeff2,2.7719710080353526,2.7979372050180045,2.8081194544009027,1.4417485272750228,1.364276772364851,1.3115324937631212
9330175M20Rik,0.132343177709296,0.0,0.0,0.036279026976059794,0.0,0.10309082593674401
Cavin2,5.554877261593023,5.497798766881208,5.427529703922044,4.913535599870984,4.8620121045211855,4.836021684513118
Nabp1,3.1862764589266033,3.045223207019736,3.0577090341952724,2.8973522258569955,2.8581742205017298,2.864748940707722
Gm17767,0.16516040423595277,0.1881224993536181,0.1507746283893089,0.0,0.25132680065435786,0.08595538842380422
Myo1b,4.483103340817135,4.300020675317985,4.388077550744945,5.222491941337859,5.3206188609077465,5.312727949907066
Stat4,0.8058360079893232,0.6682351562058378,0.573437994212539,0.2513538234746195,0.4425755628712191,0.13726656360149667
Gm3940,0.06631630195449463,0.03783778584439465,0.1933808663553657,0.0,0.0,0.06879474040735298
Stat1,5.3476602289318595,5.294463221591097,5.303916162853246,4.648646441450128,4.72224981175622,4.673800171613768
Gls,5.387899128026696,5.263010262277719,5.319700705289578,5.418122701349481,5.160706308973263,5.171564727152515
Nab1,5.465789387767906,5.4648653953416035,5.476471870093455,5.631522809588713,5.719425181582565,5.698071937511622
Nemp2,3.315805220254589,3.201340733521145,3.3187034752270765,3.7784613408147942,3.564779584037459,3.6869539483267655
Mfsd6,5.651351132172876,5.737813311938711,5.719280042664295,6.09870295524906,6.142563246359204,6.130289895157705
Inpp1,3.833231378843536,3.855537044255147,3.8132256287896253,4.1293804476759455,4.20112193253039,4.1892382412109175
Hibch,3.5935323911712063,3.7230569190003906,3.8451530720758567,3.3965663521836094,3.5311818034156275,3.6500909397443952
1700019D03Rik,0.622632692281272,1.1381750967031972,0.6985246303858751,0.286365880587074,0.050774384631327385,0.12019615699476192
Mstn,0.11587910055589942,0.16949790234958853,0.04322840321106,0.0,0.0,0.0
1700019A02Rik,0.01659046913343815,0.07562153470526144,0.021619249809095735,0.01814249757293295,0.050774384631327385,0.0
Pms1,2.153022167795855,2.0067182100708143,2.2724101910332086,2.2364472936892223,2.12809422153574,2.165710476203392
Ormdl1,3.607117755369117,3.880832749295306,3.906106033185823,3.580163677573331,3.550310116745243,3.7790947231146235
Osgepl1,2.849524808022414,2.9046627846082007,2.8904233053395454,2.9364975193236202,2.9784947587719306,2.9291397381263815
Asnsd1,4.677063902160229,4.602909908563645,4.738422005040169,4.708320111561713,4.527324278153872,4.823371865491946
Dnah7a,2.7760967530641496,3.055947146700733,3.0434140108584304,5.119288844433622,5.117832787282475,5.240084429979167
Stk17b,4.42284652712136,4.1460220117666715,4.207219403253258,3.801408549062421,3.309261200280035,3.3305620771723383
Hecw2,3.0422664028360678,2.900521135825035,2.846366255681646,2.359101894625574,1.262410075696816,1.5590637862136534
Ccdc150,1.4395797853824432,1.5276373225582545,1.2374410545172136,3.6456815545043564,3.3166490291638375,3.2007518464155438
Gtf3c3,3.8998643025862623,3.8155199836199865,3.867996008051406,4.102757940582879,4.110412210165951,4.094654186436608
Pgap1,3.300041692547373,3.0577233914811743,3.0577090341952724,3.1407746928695404,2.8494219118586086,2.9087549558736234
Ankrd44,4.179273646652469,4.138809746008988,4.207862825931111,5.65921974674692,5.84842228511353,5.771906299417354
Sf3b1,6.489471798368823,6.469288799561532,6.456562100097453,6.512793310928933,6.454192540767044,6.460533974870375
Coq10b,3.549730911918176,3.1998014495435294,3.272311041436937,3.107328052013681,2.9201325210500038,2.62771085583262
Hspd1,5.76316920586604,5.728626203939926,5.690923247542859,5.7454384483717895,6.056177861618686,5.912099208206817
Hspe1,4.631904140237313,4.757900550313788,4.7975675242191045,4.456170178163343,4.7616730615209715,4.604957919970869
Mob4,4.797090664941911,4.81165242686594,4.774473359802712,4.249182981522625,4.204918188792967,4.257296795335236
Rftn2,3.4304991598371033,3.286804516069387,3.1224876590716497,2.7282363115702557,2.066663585015851,2.0846758736021638
Mars2,2.5739048460967497,2.4884530149116664,2.4350998287577457,2.1101531023039213,2.1516755925693154,2.0503893011970495
Boll,0.0,0.0,0.0,0.036279026976059794,0.0,0.0
Plcl1,3.6858050317487354,3.7833460715226463,3.612053356828258,2.885305317920463,2.4781683521947016,2.652153192899163
Gm6644,0.4642847428318167,0.6835298981575378,0.6985246303858751,0.6138766905169332,0.3484774933779238,0.3377848778271744
