Accession	luminal protein 2.5
Q9Z2Y8	8117304.469
Q8BHG2	15311172.66
P07744	222560795.2
A0A286YDI8	1591861.719
Q8BT60	10135597.28
A0A140LHA2	4240361.484
Q76LS9	1513095.969
Q99JY3	11096923.92
P28063	13419928.03
Q9EQR4	834006.625
Q91VW3	9509044.906
Q3ULW8	3744407.516
Q921F2	10030137.06
Q9CX86	3444254.094
Q63932	6399037.547
O88543	8055561.875
P63085	15339942.88
Q61510	3791934.875
P62137	3017905.016
P28658	7890065.313
P0DOV2	8429850.188
Q8R1G2	6938179.672
Q6ZWV3	18025851.03
O08583	3678861.75
Q9D6Y7	7185088.906
A0A1Y7VMN0	4656198.508
P60867	16305195.56
Q8K4Z5	1198297.313
Q61937	31284190.19
Q9D1E6	4309210.523
Q8CEK3	4678871.391
P62821	10492551.56
Q8K3C3	1737986.875
P53811	13829555.58
P97314	3813345.25
Q91XD6	2057030.172
A0A0R4J1Y3	30976032.16
Q9DCZ1	13310160.41
Q9QXD6	NA
O55143	5906518.453
Q9Z1G3	4789190.344
Q00898	25587892.06
Q8BTI8	5796028.375
Q9DCL9	17102803.22
Q8BFQ8	576690.1875
Q8K426	719341
Q9CQR6	7622373.422
P13864	3389173.742
Q08943	1109553.813
Q9EST5	39285084
P19253	8435201.547
Q01149	2870273.75
A0A0G2JE99	3720097.777
P14131	83650467.59
Q6ZWN5	23190499.33
Q60662	4161581.141
P21300	981438.5938
Q9EQQ9	4723823.031
P63168	58014612.48
P10639	91780391.59
Q91VM9	1886724.5
O89112	10486353.88
Q8CC86	2299475.469
Q9D892	8234721.719
Q60972	5250644.5
A0A0R4J034	2920801.375
Q60692	25058527.53
Q6P4T2	1212935.391
Q9D1M0	5323998.344
Q64378	5833874.813
P22907	7841111.563
E9PXY8	2199426
E9PUD1	1733808.203
Q8BVF2	2047701.766
Q9QZM0	2250023.281
Q6P542	2106962.156
Q925P3	NA
P99026	25032383.56
Q61581	3966645.875
O08738	7939292.156
Q9DCS2	3884505.125
Q8CJ53	3862943.234
P41105	7003460.625
Q99JI6	9541088.813
P11031	15731445.25
P14115	16509659.13
Q62266	NA
P62830	8888691.891
Q91YN5	1448232.484
P98078	1257878.781
E9PXX7	5343369.563
P55302	2568673.125
Q3U5Q7	3428546.25
Q9D883	15101179.02
Q62009	6073910.969
P97310	1094091.75
O70251	16174723.75
Q80X50	2307560.18
Q6ZWU9	6345067.797
Q9QYJ0	6810769.781
Q9CZ04	3388811.875
Q9CR57	20216546.88
Q9ET26	2905413.031
O70250	605114.5469
Q61599	13979848.41
Q9D8B3	21437153.14
Q9D7H3	1791430.141
O09167	12716826.59
Q9Z0P4	965773.375
Q8CCS6	1809012.219
O35226	7416712.016
E9Q4K7	4203779.969
Q9CZU6	10111898.5
Q8JZK9	2156182.359
Q5SF07	511943.4688
G3X9T7	3587004.344
