Accession	luminal protein estrus
Q07968	1860462.984
P99027	32530105.44
E9PX96	4236944.932
Q64213	3715830.594
P47811	2063933.625
G3X8U3	7803312.125
Q3UZ39	2175072.773
Q62376	5991430
Q9Z204	6994971.891
A2AJB7	148971.2656
Q62348	20185753.69
Q9CYG7	3514980.922
A0A0R4J050	3663154.43
Q8VBW6	3927421.391
O88545	8977348.875
P46467	5585666.141
P39447	859192.6758
F8WIP8	NA
P35279	16749524.5
Q9CQI6	232559764.5
Q62384	1152622.922
P28654	15402231.78
Q62189	3169708.938
O35640	3068428.844
P49722	13017874.23
P48428	15294899.59
P42232	3738273.688
Q9WUM4	4890228.094
Q80YC5	2666306.734
Q6P8I4	2585960.469
A0A1B0GSU0	2842976.719
Q921K2	2203175.688
Q9R1P3	12200579.13
Q78IQ7	872346.1563
Q91YQ5	3470132.719
Q9QZ88	12809934.47
E9PY39	36423781.09
P13439	4239906
P40936	17989613.19
A0A0A6YY53	3085336.688
Q8BUR4	1488097.266
Q91V89	8456787.406
P28843	1565073.752
Q91VK1	10495832.93
Q9JM14	6119825.031
P63054	28484508.95
P30275	8253604.625
Q99JT9	2475740.469
Q8K182	3281013.188
Q8BH58	1752262.688
Q04750	3713893.805
Q8BIW1	1144489.516
Q8K3H0	11431311.74
Q9Z2K1	49593273.42
Q5SUT0	4807741.219
P48024	2037886.281
Q9JLV1	4627360.547
Q9DCC5	15553618.94
P60766	15399623.58
P00687	244422.8594
P21765	21998280.72
P68372	52516628.83
Q920B9	1704407.203
G5E850	5491648.516
P63328	1858643.813
Q6PAM1	960225.1875
Q9D8S4	4067073.125
Q64520	3252542.813
P56546	2875135.891
P61982	23974500.34
P56212	4338355.828
Q61805	2516180.734
Q9WTP6	1116035.188
Q9CQW9	2094707.844
Q06770	30425523.41
O89110	2135380.313
P63254	83428937.39
Q99020	16897415.19
Q8C166	3327700.539
P59325	3765591.594
Q60865	2243491.809
P35278	7136364.984
Q8K274	2010096.18
A2ASS6	74216648.35
Q8R0P4	5070416.422
O70310	2145335.891
P09470	472647.9688
A0A0U1RPG8	1991706.375
P31938	2503028.047
P62889	5425112.625
A0A0N4SVS6	10530434.84
H3BJW3	7979245.828
O55135	4079888.563
P61082	6093060.188
A3KGV1	NA
F8WJ41	9156529.609
P97379	3369666.719
A2AIM4	46125396.25
Q9Z2Y8	5572855.797
Q8BHG2	7254428.703
P07744	36547619.11
A0A286YDI8	1613839.328
Q8BT60	6081539.031
A0A140LHA2	2744877.375
Q76LS9	823178.125
Q99JY3	4267979.25
P28063	9447114.922
Q9EQR4	709683.2188
Q91VW3	12577696.19
Q3ULW8	1808925.453
Q921F2	5274588.672
Q9CX86	2362611.133
Q63932	3495027.656
O88543	3366872.063
P63085	9938020.313
Q61510	2007536.438
P62137	1900625.656
P28658	6017483.313
P0DOV2	6787902.703
Q8R1G2	2370880.125
Q6ZWV3	13936348.97
O08583	2045281.844
Q9D6Y7	8091942.578
A0A1Y7VMN0	2492592.719
P60867	15902886.61
Q8K4Z5	3323176.887
Q61937	13512871.22
Q9D1E6	4378407.484
Q8CEK3	2777435.031
P62821	7657421.563
Q8K3C3	1630078.219
P53811	7843173.172
P97314	1559994.641
Q91XD6	1226067.723
A0A0R4J1Y3	20003662.09
Q9DCZ1	9567146.094
Q9QXD6	NA
O55143	3822584.844
Q9Z1G3	3499239.266
Q00898	11698216.97
Q8BTI8	3196069.352
Q9DCL9	12851236.72
Q8BFQ8	738147.5
Q8K426	633820.75
Q9CQR6	5053066.125
P13864	861039.8652
Q08943	554331.9375
Q9EST5	20030820.75
P19253	5613526.984
Q01149	1750917.875
A0A0G2JE99	592237.1133
P14131	61337051.94
Q6ZWN5	21326222.55
Q60662	2396306
P21300	NA
